indices,sim_method,correlations,window,slide,clusters,pca,find_optimal,entropy,median,silhouette_cluster,silhouette_return
3,cophenetic,1,64,1,2,with,True,,6.0,0.92389212111722,-0.0914795516809142
3,cophenetic,1,64,1,2,without,True,,6.0,0.8968614702935827,-0.0914795516809142
3,cophenetic,3,64,1,2,with,True,,5.0,0.91532881833179,-0.0785892938597335
3,cophenetic,3,64,1,2,without,True,,5.0,0.8857626345810581,-0.0785892938597335
3,meta,1,64,1,3,with,False,0.32324808937181665,9.0,0.5507939406814274,-0.0859020811958691
3,meta,1,64,1,3,without,False,0.32438534514736983,7.0,0.5632427260637585,-0.086368073371941
3,meta,1,64,1,3,with,True,0.32324808937181665,9.0,0.5507939406814274,-0.0859020811958691
3,meta,1,64,1,3,without,True,0.32438534514736983,7.0,0.5632427260637585,-0.086368073371941
3,meta,3,64,1,3,with,False,0.3052563843248313,5.0,0.5418800006811615,-0.0702629020497578
3,meta,3,64,1,3,without,False,0.3111190866726601,4.0,0.5467697963990691,-0.0710796568958839
3,meta,3,64,1,3,with,True,0.3052563843248313,5.0,0.5418800006811615,-0.0702629020497578
3,meta,3,64,1,3,without,True,0.3111190866726601,4.0,0.5467697963990691,-0.0710796568958839
3,cophenetic,1,64,1,3,with,False,0.7523595472811685,4.0,0.9041887530110514,-0.1548663730469503
3,cophenetic,1,64,1,3,without,False,0.5763760852279021,6.0,0.8924419467603902,-0.1723106786310775
3,cophenetic,3,64,1,3,with,False,0.6429339125864091,3.0,0.7334457563775583,-0.0819838533651702
3,cophenetic,3,64,1,3,without,False,0.8142238223687465,4.0,0.6191982612376402,-0.0803758905339428
5,meta,1,64,1,3,with,False,0.5526981485962049,10.0,0.3702470815652847,-0.0722013760801444
5,meta,1,64,1,3,without,False,0.33320912368582023,8.0,0.3608649173813741,-0.0714654863448108
5,meta,1,64,1,3,with,True,0.5526981485962049,10.0,0.3702470815652847,-0.0722013760801444
5,meta,1,64,1,3,without,True,0.33320912368582023,8.0,0.3608649173813741,-0.0714654863448108
5,meta,3,64,1,3,with,False,0.36389171202414505,6.0,0.3795810742447615,-0.0718577579874865
5,meta,3,64,1,3,without,False,0.4108798348633594,9.0,0.3601510974375243,-0.0756699165343541
5,meta,3,64,1,3,with,True,0.36389171202414505,6.0,0.3795810742447615,-0.0718577579874865
5,meta,3,64,1,3,without,True,0.4108798348633594,9.0,0.3601510974375243,-0.0756699165343541
5,cophenetic,1,64,1,3,with,False,0.8360200793328896,4.0,0.354881645019016,-0.0685314440845716
5,cophenetic,1,64,1,3,without,False,0.9228711415007199,5.0,0.3265127510587262,-0.0288234050704381
5,cophenetic,3,64,1,3,with,False,0.6125060611914297,4.0,0.3576885905441272,-0.0364120242683601
